source_record_id,asset_type,substation_name,voltage_level,summer_total_capacity_mva,summer_firm_capacity_mva,summer_load_transfer_capacity_mva,summer_95pct_peak_exceeded_hours_per_year,summer_embedded_solar_pv_mw,summer_embedded_other_generation_mw,winter_total_capacity_mva,winter_firm_capacity_mva,winter_load_transfer_capacity_mva,winter_95pct_peak_exceeded_hours_per_year,winter_embedded_solar_pv_mw,winter_embedded_other_generation_mw,summer_actual_2022_23_mva,summer_actual_2022_23_pf,summer_actual_2023_24_mva,summer_actual_2023_24_pf,summer_actual_2024_25_mva,summer_actual_2024_25_pf,winter_actual_2022_mva,winter_actual_2022_pf,winter_actual_2023_mva,winter_actual_2023_pf,winter_actual_2024_mva,winter_actual_2024_pf,summer_forecast_2025_26_mva,summer_forecast_2025_26_pf,summer_forecast_2026_27_mva,summer_forecast_2026_27_pf,summer_forecast_2027_28_mva,summer_forecast_2027_28_pf,summer_forecast_2028_29_mva,summer_forecast_2028_29_pf,summer_forecast_2029_30_mva,summer_forecast_2029_30_pf,winter_forecast_2025_mva,winter_forecast_2025_pf,winter_forecast_2026_mva,winter_forecast_2026_pf,winter_forecast_2027_mva,winter_forecast_2027_pf,winter_forecast_2028_mva,winter_forecast_2028_pf,winter_forecast_2029_mva,winter_forecast_2029_pf,summer_apparent_firm_margin_latest_mva,summer_apparent_firm_margin_2029_30_mva,winter_apparent_firm_margin_latest_mva,winter_apparent_firm_margin_2029_mva,capacity_interpretation
zone_substation|RUTHERFORD|33/11kV,zone_substation,RUTHERFORD,33/11kV,76.17,38.11,3.4,1.25,23.095215,0.006,76.21,38.11,2.5,0.0,20.204315,0.006,29.05,0.98,30.48,0.98,33.08,0.99,22.39,0.99,24.02,0.99,21.27,0.99,26.08,0.98,27.51,0.98,28.99,0.98,29.39,0.98,30.5,0.98,25.1,0.99,25.06,0.99,26.42,0.99,27.83,0.99,28.27,0.99,5.03,7.61,16.84,9.84,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SANS SOUCI|33/11kV,zone_substation,SANS SOUCI,33/11kV,48.58,24.29,10.496701194159584,3.5,5.97159,0.017,48.58,24.29,10.420242392537194,6.25,5.608525,0.017,16.82,0.98,22.32,0.9,19.22,0.98,16.22,0.99,16.6,0.9,19.08,0.98,21.3,0.98,21.67,0.98,21.48,0.98,21.35,0.98,21.29,0.98,17.23,0.98,17.71,0.98,17.98,0.98,17.79,0.98,17.62,0.98,5.07,3.0,5.21,6.67,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SCONE|66/11kV,zone_substation,SCONE,66/11kV,76.21,38.105,2.7987584180940948,6.25,8.178275,6.22,76.21,38.105,1.9981757052981288,0.0,7.675085,5.5,13.99,0.99,16.57,0.99,17.06,0.99,12.36,1.0,12.9,1.0,12.18,1.0,16.01,0.99,16.25,0.99,16.53,0.99,16.61,0.99,17.03,0.99,13.66,0.99,13.56,0.99,13.75,0.99,14.12,0.99,14.51,0.99,21.045,21.075,25.925,23.595,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SEFTON|132/11kV,zone_substation,SEFTON,132/11kV,152.42,94.58,39.29970185046856,0.25,23.753355,0.0,152.42,99.68,30.57402891787177,0.0,21.677555,0.0,48.5,0.96,51.18,0.9,51.75,0.96,40.87,0.97,38.81,0.9,40.26,0.96,49.2,0.96,49.93,0.96,49.64,0.96,49.62,0.96,52.75,0.96,39.26,0.96,39.01,0.96,39.56,0.96,39.29,0.96,39.2,0.96,42.83,41.83,59.42,60.48,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SINGLETON|66/11kV,zone_substation,SINGLETON,66/11kV,58.15,29.84,15.167090817265372,3.0,8.44571,0.0962,58.15,31.97,10.617742570073293,0.0,7.61521,0.0,16.79,0.9,20.29,0.9,19.47,0.9,14.22,0.9,14.83,0.9,13.63,0.9,18.35,0.9,18.5,0.9,18.12,0.9,17.84,0.9,17.58,0.9,16.22,0.9,17.41,0.9,17.91,0.9,17.95,0.9,18.04,0.9,10.37,12.26,18.34,13.93,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SINGLETON NORTH|66/11kV,zone_substation,SINGLETON NORTH,66/11kV,76.21,38.11,0.0,2.0,13.4383,0.0,76.21,38.11,0.0,0.0,12.652465,0.0,15.86,0.99,18.69,0.9,18.48,0.99,11.6,0.95,11.51,0.9,11.53,0.99,14.41,0.99,14.64,0.99,15.29,0.99,15.42,0.99,16.1,0.99,11.36,0.99,11.18,0.99,11.54,0.99,12.17,0.99,12.36,0.99,19.63,22.01,26.58,25.75,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|SOMERSBY|132/11kV,zone_substation,SOMERSBY,132/11kV,104.54,51.9,6.40493589733906,0.5,12.421495,0.95252,112.31,56.07,6.492239856286679,3.75,11.95233,0.64852,14.6,0.97,15.79,0.99,16.14,0.99,17.24,0.97,17.18,0.99,16.36,0.99,16.37,0.99,16.99,0.99,16.95,0.99,19.59,0.99,19.95,0.99,17.49,0.99,17.41,0.99,18.33,0.99,18.7,0.99,21.7,0.99,35.76,31.95,39.71,34.37,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ST IVES|33/11kV,zone_substation,ST IVES,33/11kV,101.4,58.47,18.133525678290667,0.5,24.61471,0.0316,107.97,63.65,16.99702337254822,0.0,22.24789,0.0316,42.26,0.97,45.94,0.9,43.08,0.97,43.26,0.97,40.83,0.9,40.38,0.97,44.84,0.97,45.67,0.97,45.44,0.97,45.36,0.97,45.26,0.97,39.36,0.97,39.08,0.97,39.55,0.97,39.07,0.97,38.66,0.97,15.39,13.21,23.27,24.99,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ST PETERS|132/11kV,zone_substation,ST PETERS,132/11kV,152.42,88.63,36.3,0.5,11.258955,1.9216,152.42,88.63,29.6,0.0,10.59757,0.3216,64.88,0.99,67.18,0.99,71.22,0.99,55.37,1.0,53.86,1.0,54.9,1.0,85.72,0.99,86.21,0.99,86.0,0.99,87.21,0.99,90.14,0.99,58.78,1.0,60.34,1.0,61.53,1.0,62.23,1.0,63.94,1.0,17.41,-1.51,33.73,24.69,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|STOCKTON|33/11kV,zone_substation,STOCKTON,33/11kV,48.85,25.64,3.135022116025687,0.75,5.41757,0.0,51.29,25.64,2.084820870398792,0.0,5.04112,0.0,8.77,0.99,8.15,1.0,10.06,1.0,6.52,1.0,6.23,1.0,6.69,1.0,8.48,1.0,8.62,1.0,8.54,1.0,8.45,1.0,8.39,1.0,6.81,1.0,6.8,1.0,6.9,1.0,6.85,1.0,6.79,1.0,15.58,17.25,18.95,18.85,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
