source_record_id,substation_name,source_file,period_start,period_end,observation_count_valid,invalid_or_missing_rows,negative_rows,reported_units,reported_mean_mw,reported_p95_mw,reported_p99_mw,reported_peak_mw,reported_mean_mva,reported_p95_mva,reported_p99_mva,reported_peak_mva,possible_scale_or_meter_anomaly,interpretation_note
ergon 20252026/Carmila_EECL_20252026.csv,Carmila,ergon 20252026/Carmila_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2433,MW/MVA,187.487443,371.122,438.0908,616.38,214.324551,372.531,442.1653,632.47,false,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cecil Plains_EECL_20252026.csv,Cecil Plains,ergon 20252026/Cecil Plains_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,239,MW/MVA,1374.994463,3268.767,3476.9315,3863.64,1777.291483,4256.3425,4484.7247,4940.49,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Charleville_EECL_20252026.csv,Charleville,ergon 20252026/Charleville_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,4805.607885,8060.2795,9603.7043,12219.3,5620.127811,8237.111,9994.6572,13864.89,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Charters Towers_EECL_20252026.csv,Charters Towers,ergon 20252026/Charters Towers_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,4748.147753,7918.142,9306.1882,12550.0,4805.106029,7952.797,9338.6019,12556.41,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Childers_EECL_20252026.csv,Childers,ergon 20252026/Childers_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,939,MW/MVA,2476.47083,4534.591,5313.3128,7122.22,2719.246085,4586.9725,5375.0685,7295.51,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Chillagoe_EECL_20252026.csv,Chillagoe,ergon 20252026/Chillagoe_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,898,MW/MVA,145.152686,267.08,321.5058,383.66,181.094462,284.3865,335.6758,398.61,false,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Chinchilla Town_EECL_20252026.csv,Chinchilla Town,ergon 20252026/Chinchilla Town_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,351,MW/MVA,3160.263495,5941.992,7218.556,10032.57,3248.751723,5978.216,7259.6192,10107.56,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Clare South_EECL_20252026.csv,Clare South,ergon 20252026/Clare South_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,576,MW/MVA,756.59414,1686.723,2000.5524,2348.48,852.556834,1862.902,2200.4535,2578.48,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Clermont_EECL_20252026.csv,Clermont,ergon 20252026/Clermont_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,10,MW/MVA,3464.244351,6441.6455,8106.2171,10253.72,3608.649245,6463.577,8112.3858,10255.72,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Clifton_EECL_20252026.csv,Clifton,ergon 20252026/Clifton_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,546,MW/MVA,1728.020425,3131.7595,3602.7911,4268.53,1783.998564,3136.0355,3605.8789,4268.55,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Clinton_EECL_20252026.csv,Clinton,ergon 20252026/Clinton_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,6232.385197,9963.743,11600.238,15117.82,6421.944971,10168.1645,11824.3416,15499.74,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
