source_record_id,survey_id,site_name,kci_id,site_owner,custodian,region,max_site_capacity_ac,gen_info_unit_id,unit_name,technology_type,technology_detail,gas_turbine_fuel_type,duid,dispatch_type,unit_count,unit_capacity_mw_dc,unit_capacity_mw_ac,aggregated_nameplate_capacity_mw_dc,aggregated_nameplate_capacity_mw_ac,agg_nameplate_storage_capacity_mwh,commitment_status,full_commercial_use_date,expected_closure_year,closure_date,survey_last_requested_date,survey_latest_update_date,scheduled_capacity_mw_winter_2026,scheduled_capacity_mw_summer_typical_2026_27,scheduled_capacity_mw_summer_peak_2026_27,scheduled_capacity_mw_winter_2027,scheduled_capacity_mw_summer_typical_2027_28,scheduled_capacity_mw_summer_peak_2027_28,scheduled_capacity_mw_winter_2028,scheduled_capacity_mw_summer_typical_2028_29,scheduled_capacity_mw_summer_peak_2028_29,scheduled_capacity_mw_winter_2029,scheduled_capacity_mw_summer_typical_2029_30,scheduled_capacity_mw_summer_peak_2029_30,scheduled_capacity_mw_winter_2030,scheduled_capacity_mw_summer_typical_2030_31,scheduled_capacity_mw_summer_peak_2030_31,scheduled_capacity_mw_winter_2031,scheduled_capacity_mw_summer_typical_2031_32,scheduled_capacity_mw_summer_peak_2031_32,scheduled_capacity_mw_winter_2032,scheduled_capacity_mw_summer_typical_2032_33,scheduled_capacity_mw_summer_peak_2032_33,scheduled_capacity_mw_winter_2033,scheduled_capacity_mw_summer_typical_2033_34,scheduled_capacity_mw_summer_peak_2033_34,scheduled_capacity_mw_winter_2034,scheduled_capacity_mw_summer_typical_2034_35,scheduled_capacity_mw_summer_peak_2034_35,scheduled_capacity_mw_winter_2035,scheduled_capacity_mw_summer_typical_2035_36,scheduled_capacity_mw_summer_peak_2035_36,scheduled_storage_capacity_mwh_winter_2026,scheduled_storage_capacity_mwh_summer_2026_27,scheduled_storage_capacity_mwh_winter_2027,scheduled_storage_capacity_mwh_summer_2027_28,scheduled_storage_capacity_mwh_winter_2028,scheduled_storage_capacity_mwh_summer_2028_29,scheduled_storage_capacity_mwh_winter_2029,scheduled_storage_capacity_mwh_summer_2029_30,scheduled_storage_capacity_mwh_winter_2030,scheduled_storage_capacity_mwh_summer_2030_31,scheduled_storage_capacity_mwh_winter_2031,scheduled_storage_capacity_mwh_summer_2031_32,scheduled_storage_capacity_mwh_winter_2032,scheduled_storage_capacity_mwh_summer_2032_33,scheduled_storage_capacity_mwh_winter_2033,scheduled_storage_capacity_mwh_summer_2033_34,scheduled_storage_capacity_mwh_winter_2034,scheduled_storage_capacity_mwh_summer_2034_35,scheduled_storage_capacity_mwh_winter_2035,scheduled_storage_capacity_mwh_summer_2035_36,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125,column_126,column_127,column_128,column_129,column_130,column_131,column_132,column_133,column_134,column_135,column_136,column_137,column_138,column_139,column_140,column_141,column_142,column_143,column_144,column_145,column_146,column_147,column_148,column_149,column_150,column_151,column_152,column_153,column_154,column_155,column_156,column_157,column_158,column_159,column_160,column_161,column_162,column_163,column_164,column_165
276402|2764|LVWind||Wind|Onshore,2764,Lake Victoria Energy Park - KCI,N00175,Lake Victoria Wind Farm Pty Ltd atf Lake Victoria Wind Farm unit trust,,NSW1,1200,276402,LVWind,Wind,Onshore,,,Semi-scheduled,145,,7.5,,1087.5,,Publicly Announced,,,,46091,45475.88116898148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162601|1626|Lakeland Wind Farm:1||Wind|Onshore,1626,Lakeland Wind Farm,,Lakeland Wind Farm Pty Ltd,windlab_NR,QLD1,72,162601,Lakeland Wind Farm:1,Wind,Onshore,,,Semi-scheduled,17,4.3,4.3,73.1,73.1,,Publicly Announced,47484,2060,,46361,46167.67302083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220501|2205|ASF_G1||Solar PV|Single Axis Tracking,2205,Lambruk Solar Project,N00165, Venn Energy Pty Ltd / Acacia Solar Project Pty Ltd.,vennenergy_nr,NSW1,300,220501,ASF_G1,Solar PV,Single Axis Tracking,,,Semi-scheduled,82,4.5,4.4,369,360.8,,Publicly Announced,47452,2059,,46361,46149.41924768518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268401|2684|Lancaster Solar Farm|LANCSF1|Solar PV|Single Axis Tracking,2684,Lancaster Solar Farm,,Lancaster Solar Farm Pty Ltd as trustee for the Lancaster Solar Farm Trust,europeanenergy_nr,VIC1,80,268401,Lancaster Solar Farm,Solar PV,Single Axis Tracking,,LANCSF1,Semi-scheduled,58,1.9,1.64,110.2,95.12,,In Commissioning,46295,2056,,46361,46148.54052083333,64,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,80.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268301|2683|WRBS_GU1||Battery Storage|Lithium-ion,2683,Lansdown Solar North,Q00130,Private Energy Partners,pep_nr,QLD1,650,268301,WRBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,250,,250,2000,Publicly Announced,47571,2055,,46091,46099.66038194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268302|2683|WRSF_GU1||Solar PV|Single Axis Tracking,2683,Lansdown Solar North,Q00130,Private Energy Partners,pep_nr,QLD1,650,268302,WRSF_GU1,Solar PV,Single Axis Tracking,,,Semi-scheduled,1,,400,,400,,Publicly Announced,47571,2055,,46091,46099.66038194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193202|1932|LaTroBES|LVES1|Battery Storage|Lithium-ion,1932,LaTrobe Valley BESS,V00040,Tilt Renewables Australia Pty Ltd,SNOWTOWN,VIC1,200,193202,LaTroBES,Battery Storage,Lithium-ion,,LVES1,Scheduled,110,,0.89,,97.9,195.8,In Service,,2045,,46361,46184.46166666667,100,100,100,100,100,100,98,98,98,98,98,98,96,96,96,96,96,96,96,96,96,94,94,94,92,92,92,92,92,92,200,200,200,200,196,196,196,196,192,192,192,192,192,192,188,188,184,184,184,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111501|1115|Laverton North:1|LNGS1|Gas Turbine|OCGT,1115,Laverton North,,Snowy Hydro Ltd,SNOWY,VIC1,344,111501,Laverton North:1,Gas Turbine,OCGT,Natural Gas,LNGS1,Scheduled,1,,156,,156,,In Service,,2070,,46091,46110.563472222224,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111502|1115|Laverton North:2|LNGS2|Gas Turbine|OCGT,1115,Laverton North,,Snowy Hydro Ltd,SNOWY,VIC1,344,111502,Laverton North:2,Gas Turbine,OCGT,Natural Gas,LNGS2,Scheduled,1,,156,,156,,In Service,,2070,,46091,46110.563472222224,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262401|2624|LMBS_GU1||Battery Storage|Lithium-ion,2624,Learmonth BESS,V00139,The Trustee for Learmonth BESS Holdings Unit Trust,torchlightenergy_nr,VIC1,268,262401,LMBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,268,,268,1072,Publicly Announced,,,,46361,46169.72920138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111701|1117|Leonards Hill:WT1 Gale|HEPWIND1|Wind|Onshore,1117,Leonards Hill,,Hepburn Community Wind Park Co-operative Limited,hepburnwind_NR,VIC1,4.1,111701,Leonards Hill:WT1 Gale,Wind,Onshore,,HEPWIND1,Non-scheduled,1,,2.05,,2.05,,In Service,,2050,,46091,45586.79800925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111702|1117|Leonards Hill:WT2 Gusto|HEPWIND1|Wind|Onshore,1117,Leonards Hill,,Hepburn Community Wind Park Co-operative Limited,hepburnwind_NR,VIC1,4.1,111702,Leonards Hill:WT2 Gusto,Wind,Onshore,,HEPWIND1,Non-scheduled,1,,2.05,,2.05,,In Service,,2050,,46091,45586.79800925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293101|2931|LRD_SF||Solar PV|Single Axis Tracking,2931,Lerida Solar Farm and BESS,N00203,Elgin Energy Pty Ltd,glas-service_nr,NSW1,250,293101,LRD_SF,Solar PV,Single Axis Tracking,,,Semi-scheduled,1,,250,,250,,Publicly Announced,47893,2070,,46091,46162.39365740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293102|2931|LRD_BESS||Battery Storage|Lithium-ion,2931,Lerida Solar Farm and BESS,N00203,Elgin Energy Pty Ltd,glas-service_nr,NSW1,250,293102,LRD_BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,250,,250,1000,Publicly Announced,47893,2070,,46091,46162.39365740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217101|2171|LDBESS1|LDBESS1|Battery Storage|Lithium-ion,2171,Liddell BESS,,MACQGEN,MACQGEN,NSW1,500,217101,LDBESS1,Battery Storage,Lithium-ion,,LDBESS1,Scheduled,1,500,500,500,500,1000,In Commissioning,46174,2046,,46091,46105.401354166665,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270301|2703|lilyvale||Battery Storage|Lithium-ion,2703,Lilyvale BESS - KCI,Q00152,ACEN Australia,acenaustralia_NR,QLD1,440,270301,lilyvale,Battery Storage,Lithium-ion,,,Scheduled,1,440,440,440,440,1760,Publicly Announced,47088,2080,,46361,46155.57690972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138401|1384|Lilyvale Solar Farm:1-69|LILYSF1|Solar PV|Single Axis Tracking,1384,Lilyvale Solar Farm,,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,EEQLILY,QLD1,100,138401,Lilyvale Solar Farm:1-69,Solar PV,Single Axis Tracking,,LILYSF1,Semi-scheduled,74,1.6,1.6,118.4,118.4,,In Service,,2048,,46091,46101.75115740741,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,99.974,98.79,97.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222301|2223|LIMBESS1|LIMBESS1|Battery Storage|Lithium-ion,2223,Limondale BESS,N00094,LIMONDALE BATTERY PTY. LTD,rwe_NR,NSW1,50,222301,LIMBESS1,Battery Storage,Lithium-ion,,LIMBESS1,Scheduled,1,,50,,50,400,In Service,,2046,,46361,46157.42747685185,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145302|1453|LIMOSF11|LIMOSF11|Solar PV|Single Axis Tracking,1453,Limondale Solar Farm 1,,Limondale Sun Farm Pty Ltd,rwe_NR,NSW1,306,145302,LIMOSF11,Solar PV,Single Axis Tracking,,LIMOSF11,Semi-scheduled,100,,2.3,,230,,In Service,,2050,,46091,46101.58996527778,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,220,220,207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167502|1675|LIMOSF21|LIMOSF21|Solar PV|Single Axis Tracking,1675,Limondale Solar Farm 2,,Limondale Sun Farm Pty Ltd,rwe_NR,NSW1,42.8,167502,LIMOSF21,Solar PV,Single Axis Tracking,,LIMOSF21,Semi-scheduled,14,,2.07,,28.98,,In Service,,2050,,46091,46101.597337962965,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,28.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292201|2922|LGBS_GU1||Battery Storage|Lithium-ion,2922,Lindsay Gap BESS,N00209,Acciona Energy Australia Global,acciona_NR,NSW1,450,292201,LGBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,450,,450,450,Publicly Announced,47467,2049,,46091,46101.40557870371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224701|2247|LTLRIVBT||Battery Storage|Lithium-ion,2247,Little River BESS,V00075,ACEnergy Pty Ltd,acenergy_NR,VIC1,350,224701,LTLRIVBT,Battery Storage,Lithium-ion,,,Scheduled,124,3.62,3.62,448.88,448.88,1795.52,Anticipated,47086,2048,,46361,46169.427199074074,0,0,0,0,0,0,0,350,294,350,350,294,350,350,294,350,350,294,350,350,294,350,350,294,350,350,294,350,350,294,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234101|2341|LRSF_GU1||Solar PV|Fixed,2341,Little River Solar Farm - KCI,V00008, Clean Technology Partners,,VIC1,279,234101,LRSF_GU1,Solar PV,Fixed,,,Semi-scheduled,1,,279,,279,,Publicly Announced,,,,46091,44945.05190972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112001|1120|Liverpool Range Wind Farm:Units 1-267||Wind|Onshore,1120,Liverpool Range Wind Farm,,Liverpool Range Wind Farm Pty Ltd,SNOWTOWN,NSW1,1338,112001,Liverpool Range Wind Farm:Units 1-267,Wind,Onshore,,,Semi-scheduled,185,,7.2,,1332,,Publicly Announced,47968,2055,,46361,46161.68585648148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262601|2626|LCKH_SF||Solar PV|Single Axis Tracking,2626,Lockhart Solar and BESS,,Glas Service Co Pty Ltd,glas-service_nr,NSW1,20,262601,LCKH_SF,Solar PV,Single Axis Tracking,,,Semi-scheduled,1,,10,,10,,Anticipated,46787,2060,,46361,46161.620983796296,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262602|2626|LCKH_BESS||Battery Storage|Lithium-ion,2626,Lockhart Solar and BESS,,Glas Service Co Pty Ltd,glas-service_nr,NSW1,20,262602,LCKH_BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,10,,10,20,Anticipated,46787,2060,,46361,46161.620983796296,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161403|1614|Lockyer Energy Project BESS - Stage 1||Battery Storage|Lithium-ion,1614,Lockyer Valley Energy Project,,Stanwell Lockyer Project Co Pty Ltd,STANWELL,QLD1,1000,161403,Lockyer Energy Project BESS - Stage 1,Battery Storage,Lithium-ion,,,Scheduled,1,400,400,400,400,800,Publicly Announced,51318,2070,,46361,46174.59947916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161404|1614|Lockyer Energy Project BESS - Stage 2||Battery Storage|Lithium-ion,1614,Lockyer Valley Energy Project,,Stanwell Lockyer Project Co Pty Ltd,STANWELL,QLD1,1000,161404,Lockyer Energy Project BESS - Stage 2,Battery Storage,Lithium-ion,,,Scheduled,1,400,400,400,400,800,Publicly Announced,51318,2070,,46361,46174.59947916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161409|1614|LVEPA||Gas Turbine|OCGT,1614,Lockyer Valley Energy Project,,Stanwell Lockyer Project Co Pty Ltd,STANWELL,QLD1,1000,161409,LVEPA,Gas Turbine,OCGT,Natural Gas,,Scheduled,1,,58.5,,58.5,,Anticipated,47756,2068,,46361,46174.59947916667,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161410|1614|LVEPB||Gas Turbine|OCGT,1614,Lockyer Valley Energy Project,,Stanwell Lockyer Project Co Pty Ltd,STANWELL,QLD1,1000,161410,LVEPB,Gas Turbine,OCGT,Natural Gas,,Scheduled,1,,58.5,,58.5,,Anticipated,47756,2060,,46361,46174.59947916667,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311901|3119|LPBS_GU1||Battery Storage|Lithium-ion,3119,Long Plains Solar Farm And BESS,,Energy Estate,energyestate_NR,NSW1,150,311901,LPBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,150,,150,600,Publicly Announced,,,,46091,45939.75337962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311902|3119|LPSF_GU1||Solar PV|Fixed,3119,Long Plains Solar Farm And BESS,,Energy Estate,energyestate_NR,NSW1,150,311902,LPSF_GU1,Solar PV,Fixed,,,Semi-scheduled,1,,150,,150,,Publicly Announced,,,,46091,45939.75337962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166701|1667|Longreach Solar Farm:1-7|LRSF1|Solar PV|Single Axis Tracking,1667,Longreach Solar Farm,,Longreach Asset Company,foresightgroupau_NR,QLD1,15,166701,Longreach Solar Farm:1-7,Solar PV,Single Axis Tracking,,LRSF1,Significant Non-scheduled,7,2.49,2.14,17.43,14.98,,In Service,,2043,,46091,46141.548159722224,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,15,14.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200201|2002|LC_GU1||Wind|Onshore,2002,Lotus Creek Wind Farm,Q00079,CS ENERGY,CSENERGY,QLD1,285,200201,LC_GU1,Wind,Onshore,,,Semi-scheduled,46,,6.2,,285.2,,Committed,46728,2067,,46361,46148.62641203704,0,0,0,0,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234201|2342|LBBS_GU1||Battery Storage|Lithium-ion,2342,Lovely Banks Renewable Energy Hub - KCI,V00002, Syncline Energy Pty Ltd,synclineenergy_NR,VIC1,400,234201,LBBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,400,,400,,Publicly Announced,,,,45901,45744.74421296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241201|2412|LWBESS||Battery Storage|Lithium-ion,2412,Lower Wonga BESS,Q00146,Equis Energy (Australia) Projects (Ngumi 7) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 7 Asset Trust,equis_NR,QLD1,200,241201,LWBESS,Battery Storage,Lithium-ion,,,Scheduled,220,0.62,0.98,136.4,215.6,798.6,Publicly Announced,46753,2050,,46361,46154.54865740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230001|2300|LWDCBESS||Battery Storage|Lithium-ion,2300,Lower Wonga Solar Farm and BESS,Q00052,Lower Wonga Solar Farm Pty Ltd,lightsourcebp_NR,QLD1,281,230001,LWDCBESS,Battery Storage,Lithium-ion,,,Scheduled,1,421.5,281,421.5,281,843,Committed,46966,2053,,46361,46176.41608796296,0,0,0,0,92,5,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,0,0,0,260,778,739,739,720,720,704,704,690,690,678,678,666,666,655,655,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230002|2300|LWSF||Solar PV|Single Axis Tracking,2300,Lower Wonga Solar Farm and BESS,Q00052,Lower Wonga Solar Farm Pty Ltd,lightsourcebp_NR,QLD1,281,230002,LWSF,Solar PV,Single Axis Tracking,,,Scheduled,1,380,281,380,281,,Committed,46966,2068,,46361,46176.41608796296,0,0,0,0,92,92,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
