source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Forbes|West Jemalong|66/11,Forbes,West Jemalong,66/11,3/4,3/4,,4,4,,4.4,0.99,1.99,2,2.02,2.03,2.05,0.51,3.5,4.8,0.998,1.39,1.44,1.48,1.53,1.57,0.51,6.5,2.3500000000000005,3.2299999999999995
zone_substation|Glen Innes|Emmaville 66/11kV|66/11,Glen Innes,Emmaville 66/11kV,66/11,3,,,3,,,0,0.952,0.71,0.71,0.71,0.71,0.71,1.19,1,0,0.949,1.15,1.16,1.17,1.18,1.19,1.19,1,-0.71,-1.19
zone_substation|Glen Innes|Emmaville 66/22kV|66/22,Glen Innes,Emmaville 66/22kV,66/22,2.5,,,2.5,,,0,0.74,0.14,0.14,0.14,0.14,0.14,0.13,0.5,0,0.782,0.16,0.16,0.16,0.16,0.16,0.13,3,-0.14,-0.16
zone_substation|Glen Innes|Glen Innes|66/11,Glen Innes,Glen Innes,66/11,15/20,15/20,,20,20,,22,1,5.81,5.83,5.83,5.84,5.85,7.19,2,24,1,9.52,9.58,9.62,9.68,9.72,7.19,5,16.15,14.28
zone_substation|Glen Innes|Guyra|66/11/22,Glen Innes,Guyra,66/11/22,5,5,,5,5,,5.5,1,3.49,3.51,3.54,3.55,3.58,3.22,1.5,6,1,5.47,5.51,5.54,5.57,5.59,3.22,1,1.92,0.41000000000000014
zone_substation|Glen Innes|Pindari|66/22,Glen Innes,Pindari,66/22,0.5,,,0.5,,,0,0.009,0,0,0,0,0,0.01,0,0,0.684,0,0,0,0,0,0.01,0,0,0
zone_substation|Goulburn|Brisbane Grove|33/22,Goulburn,Brisbane Grove,33/22,2.5,2.5,,2.5,2.5,,2.75,0.941,2.17,2.18,2.18,2.19,2.2,2.76,2,3,0.951,2.64,2.65,2.66,2.67,2.68,2.76,4,0.5499999999999998,0.31999999999999984
zone_substation|Goulburn|Clinton Street|66/11,Goulburn,Clinton Street,66/11,15/19,20/23/30,,19,30,,20.9,0.999,12.94,13.18,13.48,13.76,14,8.8,4,22.8,1,16.61,16.74,16.84,16.94,17.04,8.8,10.5,6.899999999999999,5.760000000000002
zone_substation|Goulburn|Crookwell|66/11,Goulburn,Crookwell,66/11,7.5/10,7.5/10,,10,10,,11,0.996,3.75,3.76,3.77,3.79,3.8,4.76,1.5,12,1,6.65,6.83,6.99,7.13,7.28,4.76,0.5,7.2,4.72
zone_substation|Goulburn|Goulburn 132/33kV|132/33,Goulburn,Goulburn 132/33kV,132/33,15/22.5/30,30/36,,30,36,,33,1,8.21,8.42,8.63,8.82,9.04,4.44,2,36,1,10.51,10.63,10.74,10.85,10.93,4.44,8,23.96,25.07
