source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Tamworth|Attunga|66/11,Tamworth,Attunga,66/11,5,8,,5,8,,5.5,0.95,3.67,3.59,3.52,3.45,3.38,1.73,4.5,6,0.95,2.37,2.37,2.37,2.37,2.37,1.73,4.5,2.12,3.63
zone_substation|Tamworth|Barraba|66/11,Tamworth,Barraba,66/11,5,5,,5,5,,5.5,0.998,2.07,2.05,2.03,2.02,2.01,1.96,2.5,6,1,2.4,2.41,2.42,2.44,2.45,1.96,1,3.49,3.55
zone_substation|Tamworth|Bendemeer|66/11,Tamworth,Bendemeer,66/11,3,1,,3,1,,1.1,1,0.68,0.69,0.69,0.7,0.71,0.63,1,1.2,0.995,0.74,0.75,0.75,0.76,0.76,0.63,2,0.3900000000000001,0.43999999999999995
zone_substation|Tamworth|Caroona|33/11,Tamworth,Caroona,33/11,2,3,,2,3,,2.2,0.99,1,1,1,1.01,1.01,0.17,2.5,2.4,0.942,0.67,0.67,0.67,0.67,0.67,0.17,0.5,1.1900000000000002,1.73
zone_substation|Tamworth|Colly Blue|33/11,Tamworth,Colly Blue,33/11,1.5,3,,1.5,3,,1.65,0.96,1.13,1.13,1.12,1.12,1.12,0.41,8,1.8,0.985,0.9,0.89,0.89,0.88,0.88,0.41,3.5,0.5299999999999998,0.92
zone_substation|Tamworth|Currabubula|66/11,Tamworth,Currabubula,66/11,3,,,3,,,0,0.95,1.3,1.28,1.27,1.26,1.25,0.65,3,0,0.951,1.11,1.12,1.13,1.14,1.15,0.65,0.5,-1.25,-1.15
zone_substation|Tamworth|Goddard Lane|66/11,Tamworth,Goddard Lane,66/11,20/30,20/30,,30,30,,33,0.999,11.59,22.1,23.87,25.39,25.32,3.17,4.5,36,0.998,11.83,21.42,22.7,24.68,26.35,3.17,10,7.68,9.649999999999999
zone_substation|Tamworth|Kootingal|66/11,Tamworth,Kootingal,66/11,10/16,10/16,,16,16,,17.6,0.987,6.68,6.76,6.85,6.93,6.98,4.83,1.5,19.2,0.999,5.77,5.81,5.84,5.87,5.9,4.83,1.5,10.620000000000001,13.299999999999999
zone_substation|Tamworth|Manilla|66/11,Tamworth,Manilla,66/11,5/6.25,5/6.25,,6.25,6.25,,6.88,0.9,6.1,6.19,6.25,6.31,6.35,2.74,2.5,7.5,0.9,4.4,4.43,4.45,4.48,4.5,2.74,1,0.5300000000000002,3.0
zone_substation|Tamworth|Murrurundi|33/11,Tamworth,Murrurundi,33/11,5/8,,,8,,,0,0.998,2.72,2.78,2.84,2.89,2.95,1.92,1,0,1,2.46,2.47,2.47,2.48,2.48,1.92,2.5,-2.95,-2.48
zone_substation|Tamworth|Nundle|66/11,Tamworth,Nundle,66/11,2.5,2.5,,2.5,2.5,,2.75,0.975,1.94,1.93,1.93,1.93,1.92,1.3,2.5,3,0.991,1.64,1.66,1.67,1.69,1.71,1.3,0.5,0.8300000000000001,1.29
zone_substation|Tamworth|Oxley Vale|66/11,Tamworth,Oxley Vale,66/11,20/30,20/30,,30,30,,33,0.999,19.73,19.86,19.94,20.02,20.1,13,1.5,36,0.994,17.45,17.64,17.8,17.98,18.14,13,4.5,12.899999999999999,17.86
zone_substation|Tamworth|Quirindi 66/11kV|66/33/11,Tamworth,Quirindi 66/11kV,66/33/11,10/13.3,10/13.3,,13.3,13.3,,14.63,0.992,7.13,7.11,7.12,7.12,7.11,3.66,3,15.96,0.998,6.29,6.34,6.4,6.44,6.49,3.66,1,7.5200000000000005,9.47
zone_substation|Tamworth|Quirindi 66/33kV|66/33/11,Tamworth,Quirindi 66/33kV,66/33/11,8/10,8/10,,10,10,,11,0.993,5.47,5.46,5.46,5.46,5.45,0,3,12,1,4.31,4.33,4.35,4.36,4.37,0,6.5,5.55,7.63
zone_substation|Tamworth|Spring Ridge|33/11,Tamworth,Spring Ridge,33/11,1,,,1,,,0,0.977,0.8,0.82,0.84,0.85,0.87,0.18,5.5,0,0.982,0.57,0.57,0.56,0.56,0.55,0.18,2,-0.87,-0.55
zone_substation|Tamworth|Tamworth East|66/11,Tamworth,Tamworth East,66/11,20/30,18/23,18/23,30,23,23,50.6,1,33.23,33.45,33.66,33.9,34.07,12.94,0.5,55.2,0.996,30.88,32.08,33.12,34.01,34.81,12.94,2,16.53,20.39
zone_substation|Tamworth|Tamworth South|66/11,Tamworth,Tamworth South,66/11,20/30,20/30,,30,30,,33,0.993,24.82,25.03,25.24,25.44,25.67,15,2.5,36,0.998,26.16,26.28,26.38,26.49,26.58,15,0.5,7.329999999999998,9.420000000000002
zone_substation|Tamworth|Upper Manilla|66/11,Tamworth,Upper Manilla,66/11,1.5,,,1.5,,,0,0.938,0.62,0.62,0.62,0.62,0.62,0.12,9,0,0.977,0.38,0.37,0.37,0.37,0.37,0.12,0.5,-0.62,-0.37
zone_substation|Tamworth|Werris Creek|66/11,Tamworth,Werris Creek,66/11,8,5/6.25,,8,6.25,,6.88,0.995,2.2,2.18,2.16,2.13,2.12,1.4,3,7.5,1,1.98,1.98,1.98,1.98,1.99,1.4,3,4.76,5.51
zone_substation|Taree|Bohnock|66/11,Taree,Bohnock,66/11,5/7,5/7,,7,7,,7.7,0.997,6.65,6.68,6.7,6.73,6.75,7.81,1.5,8.4,1,6.97,7.03,7.08,7.13,7.19,7.81,6.5,0.9500000000000002,1.21
zone_substation|Taree|Bootawa|33/11,Taree,Bootawa,33/11,8/11,5,,11,5,,5.5,0.978,3.75,3.74,3.73,3.72,3.71,1.89,1.5,6,0.99,3.69,3.69,3.68,3.68,3.67,1.89,3,1.79,2.33
zone_substation|Taree|Coopernook|33/11,Taree,Coopernook,33/11,5/8,5/6.5,,8,6.5,,7.15,0.996,2.93,2.93,2.91,2.89,2.89,2.77,2,7.8,1,2.27,2.27,2.26,2.26,2.26,2.77,5,4.26,5.54
zone_substation|Taree|Forster|66/11,Taree,Forster,66/11,15/20/25,15/20/25,,25,25,,27.5,0.997,13.76,13.75,13.77,13.76,13.76,12.76,0.5,30,1,16.67,16.74,16.82,16.9,16.97,12.76,1.5,13.74,13.030000000000001
zone_substation|Taree|Hallidays Point 11kV|66/11,Taree,Hallidays Point 11kV,66/11,12.5/16,10/16,,16,16,,17.6,0.997,8.46,8.51,8.55,8.61,8.64,10.2,3,19.2,0.999,8.69,8.78,8.88,8.95,9.03,10.2,9,8.96,10.17
zone_substation|Taree|Harrington|33/11,Taree,Harrington,33/11,5/8,5/6.25,,8,6.25,,6.88,1,3.85,3.86,3.89,3.9,3.92,4.85,2,7.5,0.998,3.72,3.74,3.75,3.77,3.78,4.85,3,2.96,3.72
zone_substation|Taree|Kanangra Dr|33/11,Taree,Kanangra Dr,33/11,20/30,20/25,,30,25,,27.5,0.994,11.84,11.75,11.71,11.65,11.55,8.72,2.5,30,1,13.5,13.67,13.85,14,14.15,8.72,1.5,15.95,15.85
zone_substation|Taree|Tuncurry|66/11,Taree,Tuncurry,66/11,10/16,12.5/16,,16,16,,17.6,0.999,5.68,5.7,5.71,5.72,5.74,4.94,12,19.2,0.999,6.7,6.69,6.68,6.68,6.67,4.94,13,11.860000000000001,12.53
zone_substation|Taree|Whitbread St|66/11,Taree,Whitbread St,66/11,20,20/30,,20,30,,22,0.988,19.19,19.21,19.19,19.27,19.29,9.99,2.5,24,0.996,15.48,15.66,15.82,15.96,16.09,9.99,3.5,2.710000000000001,7.91
zone_substation|Taree|Wingham|33/11,Taree,Wingham,33/11,10/16,7.5/10,,16,10,,11,0.985,11.45,11.41,11.4,11.37,11.38,8.06,2.5,12,1,8.22,8.21,8.21,8.2,8.2,8.06,5.5,-0.3800000000000008,3.8000000000000007
zone_substation|Temora|Anona|66/22,Temora,Anona,66/22,3,2.5,,3,2.5,,2.75,0.983,1.34,1.36,1.37,1.37,1.38,1.02,3,3,0.947,1.18,1.19,1.19,1.2,1.2,1.02,3.5,1.37,1.8
zone_substation|Temora|Ardlethan|66/11,Temora,Ardlethan,66/11,2.5,3,,2.5,3,,2.75,0.993,0.7,0.7,0.7,0.7,0.7,0.65,3,3,0.999,0.7,0.71,0.71,0.72,0.72,0.65,2.5,2.05,2.2800000000000002
zone_substation|Temora|Ariah Park|66/11,Temora,Ariah Park,66/11,3,3,,3,3,,3.3,0.999,1.07,1.07,1.07,1.07,1.07,0.77,3,3.6,0.998,0.92,0.93,0.93,0.93,0.94,0.77,9.5,2.2299999999999995,2.66
zone_substation|Temora|Junee Reefs|66/11,Temora,Junee Reefs,66/11,3,,,3,,,0,0.978,0.23,0.24,0.24,0.25,0.25,0.17,1.5,0,0.999,0.22,0.22,0.22,0.22,0.22,0.17,0.5,-0.25,-0.22
zone_substation|Temora|Temora 132/66kV|132/66,Temora,Temora 132/66kV,132/66,35/60,35/60,,60,60,,66,0.999,20.75,20.79,20.84,20.87,20.9,0,2,72,0.986,17.07,17.19,17.31,17.41,17.53,0,10,45.1,54.47
zone_substation|Temora|Temora 66/11kV|66/11,Temora,Temora 66/11kV,66/11,6.75/10,10/12.5,,10,12.5,,11,0.996,7.68,7.67,7.67,7.67,7.68,6.19,2,12,1,6.85,6.91,6.95,6.99,7.03,6.19,8,3.3200000000000003,4.97
zone_substation|Temora|West Wyalong|66/22,Temora,West Wyalong,66/22,8/10,10/12.5,,10,12.5,,11,0.999,9.12,9.31,9.45,9.59,9.72,5.67,1.5,12,0.99,7.36,7.44,7.52,7.6,7.67,5.67,15,1.2799999999999994,4.33
zone_substation|Tenterfield|Tenterfield 11kV|22/11,Tenterfield,Tenterfield 11kV,22/11,2.5,4,,2.5,4,,2.75,0.988,1.59,2.06,2.06,2.06,2.05,1.9,7.5,3,0.999,3.29,3.31,3.33,3.34,3.36,1.9,6,0.7000000000000002,-0.3599999999999999
zone_substation|Tenterfield|TransGrid 132/22kV Total Tenterfield 22kV Supply|,Tenterfield,TransGrid 132/22kV Total Tenterfield 22kV Supply,,,,,,,,0,0.999,3.9,4.26,4.27,4.28,4.28,2.71,4,0,1,6.72,6.76,6.79,6.82,6.86,2.71,3.5,-4.28,-6.86
zone_substation|Terranora|Banora Point|66/11,Terranora,Banora Point,66/11,24/30,24/30,,30,30,,33,0.999,14.6,14.74,14.94,15.18,15.38,17.04,2.5,36,0.991,12.04,12.06,12.07,12.09,12.08,17.04,1.5,17.619999999999997,23.92
zone_substation|Terranora|Cudgen 11kV|66/33/11,Terranora,Cudgen 11kV,66/33/11,70/40/30,70/40/30,,30,30,,33,1,17.35,17.92,18.45,19,19.45,16.84,3.5,36,0.997,14.86,14.98,15.11,15.21,15.31,16.84,5,13.55,20.689999999999998
zone_substation|Terranora|Cudgen 33kV|66/33/11,Terranora,Cudgen 33kV,66/33/11,70/40/30,70/40/30,,40,40,,44,1,12.73,12.77,12.82,12.84,12.87,0,2.5,48,0.997,11.76,11.77,11.75,11.77,11.79,0,3.5,31.130000000000003,36.21
zone_substation|Terranora|Hastings Point|33/11,Terranora,Hastings Point,33/11,15,15,,15,15,,16.5,1,12.19,12.23,12.25,12.26,12.32,18.14,3,18,0.997,11.38,11.37,11.36,11.36,11.35,18.14,3.5,4.18,6.65
zone_substation|Terranora|Murwillumbah|66/11,Terranora,Murwillumbah,66/11,15/20/25,15/20/25,,25,25,,27.5,0.995,21.41,21.71,22.08,22.39,22.73,24.11,2,30,1,17.56,17.5,17.43,17.38,17.31,24.11,11.5,4.77,12.690000000000001
zone_substation|Terranora|Terranora 110/66kV|110/66,Terranora,Terranora 110/66kV,110/66,70/100,70/100,70/100,100,100,100,220,0.998,97.37,98.62,99.65,100.85,102.16,0,2.5,240,0.999,80.71,80.79,80.81,80.8,80.77,0,3.5,117.84,159.23000000000002
zone_substation|Terranora|Terranora 11kV|66/11,Terranora,Terranora 11kV,66/11,24/30,24/30,,30,30,,33,1,7.91,7.98,8.03,8.1,8.17,11.44,2,36,0.992,6.38,6.42,6.46,6.5,6.56,11.44,2,24.83,29.44
zone_substation|Terranora|Tweed Heads South|66/11,Terranora,Tweed Heads South,66/11,20/30,20/30,,30,30,,33,1,15.53,15.64,15.78,15.92,16.02,17.15,3.5,36,1,13.24,13.25,13.26,13.25,13.26,17.15,2,16.98,22.740000000000002
zone_substation|Terranora|Tweed Heads|66/11,Terranora,Tweed Heads,66/11,25,25,,25,25,,27.5,0.997,15.4,15.4,15.41,15.4,15.38,5.28,3,30,1,11.56,11.55,11.55,11.56,11.55,5.28,3,12.12,18.45
zone_substation|Tumut|Adelong|66/11,Tumut,Adelong,66/11,3,2.5,,3,2.5,,2.75,0.994,1.35,1.36,1.38,1.39,1.4,1.52,2.5,3,0.999,1.26,1.25,1.25,1.24,1.23,1.52,7,1.35,1.77
zone_substation|Tumut|Batlow|66/11,Tumut,Batlow,66/11,5,5,,5,5,,5.5,0.977,1.47,1.45,1.43,1.41,1.39,1.37,13.5,6,0.994,1.76,1.73,1.71,1.69,1.68,1.37,7,4.11,4.32
zone_substation|Tumut|Gundagai South|66/11,Tumut,Gundagai South,66/11,8,8,,8,8,,8.8,0.996,5.99,6.1,6.21,6.33,6.45,3.92,1.5,9.6,1,5.5,5.54,5.57,5.61,5.64,3.92,20,2.3500000000000005,3.96
zone_substation|Tumut|Nangus|66/11,Tumut,Nangus,66/11,1,2.8,,1,2.8,,1.1,0.951,1.1,1.11,1.12,1.14,1.15,0.57,1,1.2,0.987,0.55,0.56,0.56,0.57,0.58,0.57,5,-0.04999999999999982,0.62
zone_substation|Tumut|Parsons Creek|66/11,Tumut,Parsons Creek,66/11,3,,,3,,,0,1,0.1,0.1,0.1,0.1,0.1,0.09,1,0,0.994,0.11,0.11,0.11,0.11,0.11,0.09,1.5,-0.1,-0.11
zone_substation|Tumut|Talbingo|66/11,Tumut,Talbingo,66/11,3.5,,,3.5,,,0,0.629,0.69,0.71,0.74,0.76,0.78,0.41,0.5,0,0.509,0.63,0.65,0.67,0.7,0.72,0.41,2,-0.78,-0.72
zone_substation|Tumut|Tumbarumba|66/22,Tumut,Tumbarumba,66/22,10/12.5,8,,12.5,8,,8.8,0.992,6.8,6.75,6.71,6.68,6.65,3.63,6.5,9.6,0.999,7.89,7.81,7.75,7.68,7.64,3.63,18,2.1500000000000004,1.96
zone_substation|Tumut|Tumut|66/11,Tumut,Tumut,66/11,30,18/30,,30,30,,33,0.992,12.12,12.09,12.04,12.04,12.02,7.5,4,36,0.991,14.44,14.47,14.51,14.54,14.57,7.5,2.5,20.98,21.43
zone_substation|Wagga (Copland St)|Ashmont|66/11,Wagga (Copland St),Ashmont,66/11,20/30,20/30,,30,30,,33,0.985,19.01,19.09,19.18,19.32,19.37,10.44,1,36,0.996,19.68,19.96,20.2,20.44,20.63,10.44,4,13.629999999999999,15.370000000000001
zone_substation|Wagga (Copland St)|Bourkelands|66/11,Wagga (Copland St),Bourkelands,66/11,10/13.3,10/13.3,,13.3,13.3,,14.63,0.997,12.42,12.48,12.58,12.65,12.74,10.28,3,15.96,1,11,11.09,11.16,11.23,11.3,10.28,9,1.8900000000000006,4.66
zone_substation|Wagga (Copland St)|Bulgary|66/22,Wagga (Copland St),Bulgary,66/22,2.5,,,2.5,,,0,0.992,0.19,0.18,0.17,0.16,0.15,0,11,0,0.983,0.15,0.14,0.14,0.13,0.13,0,20,-0.15,-0.13
zone_substation|Wagga (Copland St)|Hammond Ave|66/11,Wagga (Copland St),Hammond Ave,66/11,24/30,24/30,,30,30,,33,0.998,17.62,17.61,17.63,17.6,17.62,4.9,1,36,1,15.13,15.17,15.25,15.32,15.35,4.9,2,15.379999999999999,20.65
zone_substation|Wagga (Copland St)|Henty|66/11,Wagga (Copland St),Henty,66/11,5,5,,5,5,,5.5,0.995,2.47,2.55,2.64,2.71,2.8,2.12,1.5,6,1,2.14,2.13,2.12,2.11,2.11,2.12,7.5,2.7,3.89
zone_substation|Wagga (Copland St)|Kooringal|66/11,Wagga (Copland St),Kooringal,66/11,18/25,18/25,,25,25,,27.5,0.999,18.34,18.36,18.39,18.39,18.45,12.96,2.5,30,1,15.47,15.54,15.59,15.66,15.7,12.96,10.5,9.05,14.3
zone_substation|Wagga (Copland St)|Lockhart|66/22,Wagga (Copland St),Lockhart,66/22,8,5,,8,5,,5.5,0.985,3.21,3.21,3.21,3.21,3.21,2.5,2.5,6,0.951,2.99,2.99,2.99,2.99,3,2.5,3,2.29,3
zone_substation|Wagga (Copland St)|Morrow St|66/11,Wagga (Copland St),Morrow St,66/11,20,20,,20,20,,22,0.98,11.47,11.71,11.9,12.09,12.34,2.53,1.5,24,0.991,9.42,9.42,9.41,9.43,9.41,2.53,3.5,9.66,14.59
zone_substation|Wagga (Copland St)|Uranquinty|66/22,Wagga (Copland St),Uranquinty,66/22,10/16,10/16,,16,16,,17.6,0.997,4.99,4.98,4.98,4.98,4.97,3.55,4,19.2,0.997,4.87,4.9,4.92,4.95,4.97,3.55,6.5,12.630000000000003,14.23
zone_substation|Wagga North|Bethungra|66/11,Wagga North,Bethungra,66/11,3,3,,3,3,,3.3,0.998,0.73,0.73,0.74,0.74,0.75,0.3,5.5,3.6,1,0.68,0.68,0.68,0.68,0.68,0.3,26,2.55,2.92
zone_substation|Wagga North|Bomen|66/11,Wagga North,Bomen,66/11,20/30,20/30,,30,30,,33,1,11.66,13.81,15.91,17.99,20.11,0.34,3,36,0.95,11.45,13.73,15.98,18.21,20.44,0.34,31,12.89,15.559999999999999
zone_substation|Wagga North|Cartwrights Hill 11kV|66/11,Wagga North,Cartwrights Hill 11kV,66/11,6.75/8,6.75/8,,8,8,,8.8,0.997,10.13,10.34,10.56,10.77,10.93,5.32,0,9.6,1,8.72,8.85,8.97,9.08,9.19,5.32,0,-2.129999999999999,0.41000000000000014
zone_substation|Wagga North|Cartwrights Hill 33kV|11/33,Wagga North,Cartwrights Hill 33kV,11/33,5,4,,5,4,,4.4,0.962,1.44,1.43,1.43,1.42,1.42,0,2,4.8,0.927,0.59,0.59,0.59,0.59,0.59,0,1.5,2.9800000000000004,4.21
zone_substation|Wagga North|Coolamon|66/11,Wagga North,Coolamon,66/11,8,8,,8,8,,8.8,0.995,5.06,5.16,5.23,5.29,5.36,4.55,4,9.6,0.999,4.32,4.35,4.38,4.41,4.43,4.55,13,3.4400000000000004,5.17
zone_substation|Wagga North|Euberta|33/11,Wagga North,Euberta,33/11,4,3,,4,3,,3.3,0.916,1.38,1.41,1.43,1.45,1.47,0.81,2.5,3.6,0.973,0.83,0.82,0.8,0.79,0.78,0.81,4,1.8299999999999998,2.8200000000000003
zone_substation|Wagga North|Forest Hill|66/11,Wagga North,Forest Hill,66/11,12.5/16,10/14,,16,14,,15.4,0.97,5.52,5.68,5.84,6,6.16,2.68,0.5,16.8,0.995,4.88,4.94,4.99,5.04,5.1,2.68,4,9.24,11.700000000000001
zone_substation|Wagga North|Ganmurra|33/11,Wagga North,Ganmurra,33/11,2.5,,,2.5,,,0,0.994,0.57,0.58,0.59,0.6,0.61,0.26,3.5,0,0.997,0.51,0.51,0.52,0.52,0.53,0.26,2.5,-0.61,-0.53
zone_substation|Wagga North|Junee 11kV|66/11,Wagga North,Junee 11kV,66/11,10/18,10/15,,18,15,,16.5,0.999,7.22,7.25,7.27,7.31,7.33,4.08,5,18,0.999,6.8,6.86,6.91,6.95,7,4.08,12,9.17,11
zone_substation|Wagga North|Junee 66kV|132/66,Wagga North,Junee 66kV,132/66,30,,,30,,,0,0.999,12.71,12.84,12.97,13.08,13.17,0,3.5,0,0.999,11.38,11.41,11.42,11.44,11.46,0,10,-13.17,-11.46
zone_substation|Wagga North|Mates Gully|33/11,Wagga North,Mates Gully,33/11,2,,,2,,,0,0.988,0.51,0.52,0.53,0.53,0.54,0.42,1,0,0.969,0.39,0.39,0.39,0.39,0.39,0.42,3,-0.54,-0.39
zone_substation|Wagga North|Oura 11/33kV|11/33,Wagga North,Oura 11/33kV,11/33,4,2,,4,2,,2.2,1,1.64,1.64,1.64,1.64,1.65,0,1,2.4,0.999,1.44,1.44,1.45,1.46,1.46,0,3,0.5500000000000003,0.94
zone_substation|Wagga North|Oura 66/11kV|66/11,Wagga North,Oura 66/11kV,66/11,5/6.9,5/6.9,,6.9,6.9,,7.59,0.987,4.14,4.14,4.13,4.14,4.13,0.61,2.5,8.28,0.995,3.37,3.4,3.42,3.45,3.47,0.61,2.5,3.46,4.809999999999999
zone_substation|Wagga North|Tarcutta|33/11,Wagga North,Tarcutta,33/11,1,3,,1,3,,1.1,0.999,1.11,1.12,1.14,1.16,1.17,0.8,1.5,1.2,1,1.08,1.09,1.1,1.12,1.13,0.8,0.5,-0.06999999999999984,0.07000000000000006
zone_substation|Waggamba|Goondiwindi 22kV|66/22,Waggamba,Goondiwindi 22kV,66/22,15,20/30,,15,30,,16.5,1,18.14,18.42,18.66,18.9,19.07,6.85,2.5,18,1,18.93,19.22,19.46,19.7,19.92,6.85,6.5,-2.5700000000000003,-1.9200000000000017
zone_substation|Waggamba|Goondiwindi 33kV|66/33,Waggamba,Goondiwindi 33kV,66/33,5,,,5,,,0,0.999,6.51,6.58,6.67,6.72,6.77,2.72,8.5,0,0.988,5.65,5.72,5.77,5.82,5.87,2.72,5.5,-6.77,-5.87
zone_substation|Wellington|Mumbil|66/11,Wellington,Mumbil,66/11,2.5,2.8,,2.5,2.8,,2.75,0.974,1.42,1.43,1.44,1.45,1.46,0.79,2,3,0.998,1.13,1.14,1.14,1.15,1.16,0.79,6,1.29,1.84
"zone_substation|Wellington|Wellington 11kV|132/11, 66/11",Wellington,Wellington 11kV,"132/11, 66/11",8/11,15,,11,15,,12.1,0.993,10.21,10.2,10.22,10.2,10.19,5.79,0.5,13.2,0.999,8.86,8.92,8.98,9.04,9.11,5.79,9.5,1.9100000000000001,4.09
zone_substation|Yanco|Kywong|66/11,Yanco,Kywong,66/11,3,,,3,,,0,0.984,0.41,0.41,0.41,0.42,0.42,0.15,1,0,0.991,0.3,0.3,0.3,0.3,0.31,0.15,1.5,-0.42,-0.31
zone_substation|Yanco|Leeton|33/11,Yanco,Leeton,33/11,15/20/25,15/20/25,,25,25,,27.5,0.973,19.41,19.42,19.39,19.36,19.37,9.13,8,30,0.989,15.72,15.67,15.62,15.58,15.52,9.13,5,8.129999999999999,14.48
zone_substation|Yanco|Murrami|33/11,Yanco,Murrami,33/11,5,5,,5,5,,5.5,0.878,1.35,1.36,1.39,1.41,1.42,0.45,2,6,0.86,1.76,1.84,1.93,2.01,2.09,0.45,1.5,4.08,3.91
zone_substation|Yanco|Narrandera|66/11,Yanco,Narrandera,66/11,10/16,10/16,,16,16,,17.6,0.948,10.45,10.49,10.52,10.54,10.61,5.93,2.5,19.2,0.994,8.28,8.35,8.41,8.47,8.54,5.93,8.5,6.990000000000002,10.66
zone_substation|Yanco|Whitton|33/11,Yanco,Whitton,33/11,5/6.25,5/6.25,,6.25,6.25,,6.88,0.963,4.08,4.09,4.1,4.11,4.11,0.93,4.5,7.5,0.947,2.18,2.17,2.16,2.15,2.15,0.93,3,2.7699999999999996,5.35
zone_substation|Yanco|Yanco 33/11kV|33/11,Yanco,Yanco 33/11kV,33/11,5,,,5,,,0,0.98,2.71,2.74,2.77,2.79,2.82,1.71,3,0,0.987,2.17,2.18,2.2,2.22,2.23,1.71,3.5,-2.82,-2.23
zone_substation|Yanco|Yanco 33/66kV|33/66,Yanco,Yanco 33/66kV,33/66,15,,,15,,,0,0.968,11.08,11.1,11.12,11.15,11.18,0.96,2.5,0,0.99,9.21,9.33,9.43,9.51,9.6,0.96,1.5,-11.18,-9.6
zone_substation|Yass|Gunning|22/11,Yass,Gunning,22/11,2.5,2.5,,2.5,2.5,,2.75,1,1,1,1,1,1,1.36,2,3,1,1.31,1.32,1.33,1.34,1.34,1.36,2.5,1.75,1.66
zone_substation|Yass|Marilba|66/11,Yass,Marilba,66/11,3,,,3,,,0,0.999,1.24,1.24,1.24,1.24,1.24,1.37,1,0,1,1.45,1.44,1.44,1.44,1.44,1.37,8.5,-1.24,-1.44
zone_substation|Yass|Murrumbateman|132/22,Yass,Murrumbateman,132/22,10/12.5,,,12.5,,,0,0.995,5.74,5.82,5.92,6.02,6.1,9.77,1.5,0,0.987,7.61,7.72,7.81,7.88,7.96,9.77,8,-6.1,-7.96
zone_substation|Yass|Yass|66/22,Yass,Yass,66/22,10/13,10/13,,13,13,,14.3,0.994,11.52,11.48,11.49,11.47,11.46,9.54,3.5,15.6,0.993,13.99,14.08,14.18,14.25,14.35,9.54,7.5,2.84,1.25
