sa2_code,sa2_name,state,state_code,erp_2001,erp_2010,erp_2015,erp_2020,erp_2024,erp_2025,change_2015_25_abs,change_2015_25_pct,change_2020_25_abs,change_2020_25_pct,change_2024_25_abs,change_2024_25_pct,natural_increase_2024_25,net_internal_migration_2024_25,net_overseas_migration_2024_25,source_id,geography_version
316081549,Noosa Hinterland,QLD,3,16124.0,20912.0,22280.0,24136.0,25904.0,26251.0,3971.0,17.82,2115.0,8.76,347.0,1.34,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011445,Cambooya - Wyreema,QLD,3,3977.0,5790.0,6884.0,7869.0,8723.0,8905.0,2021.0,29.36,1036.0,13.17,182.0,2.09,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011446,Darling Heights,QLD,3,10461.0,12691.0,13865.0,14945.0,16079.0,16382.0,2517.0,18.15,1437.0,9.62,303.0,1.88,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011447,Drayton - Harristown,QLD,3,9433.0,10312.0,10502.0,10900.0,11387.0,11514.0,1012.0,9.64,614.0,5.63,127.0,1.12,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011448,Gatton,QLD,3,6048.0,7174.0,7631.0,8010.0,8749.0,8897.0,1266.0,16.59,887.0,11.07,148.0,1.69,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011449,Gowrie (Qld),QLD,3,3970.0,5500.0,6418.0,7052.0,7883.0,8154.0,1736.0,27.05,1102.0,15.63,271.0,3.44,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011450,Highfields,QLD,3,6433.0,11179.0,12987.0,14492.0,16318.0,16630.0,3643.0,28.05,2138.0,14.75,312.0,1.91,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011451,Lockyer Valley - West,QLD,3,8973.0,10353.0,11332.0,11989.0,12780.0,13029.0,1697.0,14.98,1040.0,8.67,249.0,1.95,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011452,Middle Ridge,QLD,3,4987.0,6701.0,7294.0,7552.0,8094.0,8113.0,819.0,11.23,561.0,7.43,19.0,0.23,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011453,Newtown (Qld),QLD,3,10254.0,9890.0,9815.0,10004.0,10625.0,10761.0,946.0,9.64,757.0,7.57,136.0,1.28,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011454,North Toowoomba - Harlaxton,QLD,3,5912.0,6034.0,5938.0,6374.0,6591.0,6596.0,658.0,11.08,222.0,3.48,5.0,0.08,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011455,Rangeville,QLD,3,7302.0,8388.0,8442.0,8665.0,8836.0,8887.0,445.0,5.27,222.0,2.56,51.0,0.58,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
317011456,Toowoomba - Central,QLD,3,14288.0,13758.0,13728.0,14190.0,14341.0,14434.0,706.0,5.14,244.0,1.72,93.0,0.65,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
